muni_code,pop,built-area
2710,53300,6.67
31,26600,3.59
2400,36500,3.28
1020,17600,2.57
2600,50100,9.24
1309,45900,1.79
3570,19200,2.17
70,221600,18.42
7100,134500,14.83
6000,28500,5.53
9000,205800,26.59
9200,17600,3.05
2610,109800,7.09
3780,51600,1.78
6100,189000,6.2
6200,128900,6.72
681,25500,1.54
6300,58500,3.14
2200,33500,5.54
9700,58900,7.99
6400,93100,12.2
6500,91700,12.85
6600,190800,12.75
4000,279600,36.56
6700,43100,6.4
2730,41600,5.65
2720,25300,5.58
2100,20300,2.32
8900,32800,5.03
2660,44100,5.08
9400,29300,3.67
240,22000,3.01
3000,882700,60.5
168,22300,2.95
6900,99000,9.24
634,22300,3.11
1139,45300,6.99
7000,73600,7.09
874,25100,4.28
3797,66800,2.24
1200,90000,8.51
3616,37700,4.04
1063,21100,3.67
9100,54900,6.8
7200,48200,5.63
7300,75900,6.9
1061,40200,5.45
2500,23700,3.43
246,32500,3.55
7400,210800,17.02
7500,29900,3.87
7600,47800,5.75
7700,47000,7.25
531,24500,3.06
2560,24700,4.79
7900,236200,19.49
8000,33600,4.12
638,21900,3.49
2620,38600,3.04
6800,56600,7.89
9500,39300,4.04
2630,52600,6.74
9600,39400,3.22
8200,40800,2.79
1034,21800,2.24
2800,22900,4.63
2640,45500,6.57
8300,247300,24.15
1161,64500,6.88
8400,135700,12.04
8500,75000,7.13
8600,153700,13.52
2650,45100,7.4
8700,71700,8.42
1031,24000,3.59
8800,40500,6.47
5000,438800,40.24
472,7100,1.27
473,13500,1.75
182,13500,4.47
3760,8700,1.28
565,12600,2.01
478,14000,1.48
41,3400,0.91
3750,7800,0.89
3560,3900,0.89
529,12800,2.84
3650,8700,1.05
2530,20400,3.39
482,9300,1.26
4001,6400,1.23
998,8900,1.82
3574,6100,0.76
3652,4800,1.03
480,11600,2.4
466,7100,1.09
1066,7000,0.51
9800,15200,4.54
1326,9200,1.51
944,7600,1.49
483,8000,1.17
3730,16900,1.5
1292,20300,2.22
2550,27000,3.61
485,6200,1.53
627,9600,0.9
166,23100,3.82
229,17300,1.31
541,14200,0.94
487,3100,0.58
628,11400,2.85
494,17000,5.36
489,10000,1.56
490,11900,1.24
492,9900,1.53
3769,4000,0.82
9300,22700,4.67
1290,6600,2.33
975,7600,1.93
1303,20000,3.66
496,6200,1.53
2034,9000,1.81
1247,1400,0.31
962,6400,1.41
498,13500,1.61
1295,6400,1.44
46,4200,1.97
29,1700,1.24
499,18400,1.88
831,9200,2.31
502,16600,2.92
504,13400,1.85
505,3400,0.52
1224,9000,2.25
1059,19700,2.77
1296,8300,1.91
978,5100,0.97
633,3400,0.4
1263,5600,1.63
507,9700,1.25
508,3200,1.09
509,21500,3
510,18800,1.8
654,18000,4.54
267,1900,1.45
47,4000,1.38
1271,6400,1.82
1060,12300,2.03
1015,24400,3.1
481,21900,3.43
516,14800,1.72
65,1900,1.04
4201,10800,1.76
28,13400,1.87
517,3700,0.42
43,1600,0.79
1268,7500,2.82
4203,3600,0.78
518,3200,0.91
3608,1200,0.54
1327,14300,2.35
99,5100,2
520,8000,1.2
522,12300,1.58
525,4100,0.88
587,3800,2.69
4501,2500,0.1
666,7500,3.27
530,5500,1.05
511,7700,1.15
532,12600,1.17
4502,2000,0.49
3660,3300,0.47
534,11900,3.14
637,24200,3.86
1192,16300,2.76
537,12600,1.28
535,3100,0.88
536,5700,1.31
7800,39600,8.95
171,5800,0.92
3557,4300,0.81
195,21400,3.72
4100,7000,1.56
3611,7300,1.18
2300,17600,4.29
1137,4200,0.29
469,10800,1.91
3640,7100,1.3
543,7500,1.46
26,3000,2.09
542,18600,2.85
922,11400,0.92
122,7600,1.36
913,5800,1.14
1286,9500,2.21
1304,20700,2.25
812,6200,1.49
538,6700,0.67
154,12200,2.05
1054,19200,3.58
